"","Fish_ID","Experiment","OutMigration_Week","Days_Since_Outmigr","Field_FL_mm","Field_Weight_g","Fulton_K","Active","Preferred_Chamber_p0.5"
"1","DL006","SalinityPreference","1",1,87,4.56,0.692479760912251,"1","Freshwater"
"2","DL005","SalinityPreference","1",1,89,5.25,0.744713597335486,"1","Freshwater"
"3","DL003","SalinityPreference","1",1,83,4.23,0.739785969250788,"1","Freshwater"
"4","DL004","SalinityPreference","1",1,89,5.25,0.744713597335486,"0","Freshwater"
"5","DL001","SalinityPreference","1",1,86,5.02,0.789238683386368,"1","Freshwater"
"6","DL002","SalinityPreference","1",1,87,4.8,0.728926064118159,"1","Freshwater"
"7","DL009","SalinityPreference","1",1,90,5.76,0.790123456790123,"0","Freshwater"
"8","DL010","SalinityPreference","1",1,83,4.6,0.804495380272724,"1","Brackish"
"9","DL007","SalinityPreference","1",1,91,6.08,0.806825103407642,"1","Freshwater"
"10","DL008","SalinityPreference","1",1,85,4.8,0.781599837166701,"1","Freshwater"
"11","DL012","SalinityPreference","1",1,87,5.01,0.760816579423328,"0","Brackish"
"12","DL011","SalinityPreference","1",1,78,4.09,0.861865506835921,"0","Freshwater"
"13","DL013","SalinityPreference","1",1,89,5.14,0.729110074343694,"0","Freshwater"
"14","DL014","SalinityPreference","1",1,91,5.52,0.732512264935885,"1","Freshwater"
"15","DL015","SalinityPreference","1",1,81,3.95,0.743262187147774,"1","Freshwater"
"16","DL017","SalinityPreference","1",1,83,3.93,0.687318879233001,"1","Freshwater"
"17","DL018","SalinityPreference","1",1,83,4.05,0.708305715240116,"1","Freshwater"
"18","DL016","SalinityPreference","1",1,82,4.09,0.741791326301127,"0","Freshwater"
"19","DL019","SalinityPreference","1",1,75,3.24,0.768,"1","Freshwater"
"20","DL021","SalinityPreference","1",1,83,4.26,0.745032678252566,"1","Freshwater"
"21","DL022","SalinityPreference","1",1,84,4.37,0.737298887809092,"0","Freshwater"
"22","DL024","SalinityPreference","1",1,92,5.46,0.701179419741925,"1","Freshwater"
"23","DL020","SalinityPreference","1",1,95,6.38,0.74413179763814,"1","Saltwater"
"24","DL023","SalinityPreference","1",1,90,5.23,0.717421124828532,"0","Freshwater"
"25","DL025","SalinityPreference","1",1,90,5.11,0.700960219478738,"0","Freshwater"
"26","DL027","SalinityPreference","1",1,85,4.75,0.773458172196214,"1","Freshwater"
"27","DL026","SalinityPreference","1",1,95,5.53,0.644991981338388,"1","Freshwater"
"28","DL030","SalinityPreference","1",1,88,4.85,0.711694684447783,"1","Freshwater"
"29","DL028","SalinityPreference","1",1,85,4.39,0.714838184408711,"1","Freshwater"
"30","DL029","SalinityPreference","1",1,83,4.12,0.720548036244266,"0","Freshwater"
"31","DL035","SalinityPreference","1",1,80,3.93,0.767578125,"1","Brackish"
"32","DL031","SalinityPreference","1",1,89,5.24,0.743295095245323,"0","Brackish"
"33","DL034","SalinityPreference","1",1,78,3.44,0.724894216018476,"1","Freshwater"
"34","DL036","SalinityPreference","1",1,90,4.67,0.640603566529492,"1","Freshwater"
"35","DL032","SalinityPreference","1",1,82,3.95,0.71639993615879,"0","Saltwater"
"36","DL033","SalinityPreference","1",1,93,5.73,0.712370253506838,"0","Freshwater"
"37","DL039","SalinityPreference","1",1,88,4.63,0.679411626596544,"1","Freshwater"
"38","DL037","SalinityPreference","1",1,92,5.85,0.751263664009205,"1","Brackish"
"39","DL041","SalinityPreference","1",1,94,5.24,0.630881403927839,"1","Freshwater"
"40","DL040","SalinityPreference","1",1,89,5.73,0.812801697663301,"1","Freshwater"
"41","DL038","SalinityPreference","1",1,83,4.04,0.706556812239523,"1","Brackish"
"42","DL042","SalinityPreference","1",1,93,5.24,0.651452029384962,"1","Freshwater"
"43","DL048","SalinityPreference","1",1,85,4.53,0.737634846326074,"0","Freshwater"
"44","DL043","SalinityPreference","1",1,93,6.26,0.778261393883562,"1","Freshwater"
"45","DL046","SalinityPreference","1",1,93,5.38,0.668857236276927,"1","Freshwater"
"46","DL044","SalinityPreference","1",1,83,4.18,0.731041454247823,"0","Freshwater"
"47","DL047","SalinityPreference","1",1,89,4.93,0.699321530450275,"1","Freshwater"
"48","DL045","SalinityPreference","1",1,98,7.11,0.755425035486914,"1","Freshwater"
"49","DL049","SalinityPreference","2",6,88,5.23,0.767456329827198,"0","Saltwater"
"50","DL054","SalinityPreference","2",6,90,5.9,0.809327846364883,"0","Freshwater"
"51","DL053","SalinityPreference","2",6,93,6.82,0.84788222145142,"0","Brackish"
"52","DL052","SalinityPreference","2",6,72,3.09,0.827867798353909,"0","Saltwater"
